sensor_1,1599990790000,1
sensor_1,1599990790000,1.1
sensor_1,1599990790000,1.2
sensor_2,1599990790000,2
sensor_2,1599990790000,2.1
sensor_2,1599990790000,2.2
sensor_3,1599990795000,3
sensor_3,1599990795000,3.1
sensor_3,1599990795000,3.2
sensor_4,1599990796000,4
sensor_4,1599990796000,4.1
sensor_4,1599990796000,4.2
sensor_5,1599990797000,5
sensor_5,1599990797000,5.1
sensor_5,1599990797000,5.2


sensor_1,1599990790000,1
sensor_1,1599990790000,1.1
sensor_1,1599990790000,1.2
sensor_2,1599990791000,2
sensor_2,1599990791000,2.1
sensor_2,1599990791000,2.2
sensor_3,1599990795000,3
sensor_3,1599990795000,3.1
sensor_3,1599990795000,3.2
sensor_4,1599990796000,4
sensor_4,1599990796000,4.1
sensor_4,1599990796000,4.2
sensor_5,1599990797000,5
sensor_5,1599990797000,5.1
sensor_5,1599990797000,5.2



sensor_1,1599990790001,1
sensor_1,1599990790002,1.1
sensor_1,1599990790003,1.2
sensor_2,1599990791000,2
sensor_2,1599990791000,2.1
sensor_2,1599990791000,2.2
sensor_3,1599990795000,3
sensor_3,1599990795000,3.1
sensor_3,1599990795000,3.2
sensor_4,1599990796000,4
sensor_4,1599990796000,4.1
sensor_4,1599990796000,4.2
sensor_5,1599990797000,5
sensor_5,1599990797000,5.1
sensor_5,1599990797000,5.2


sensor_2,1599990790000,-2

sensor_1,1599990791000,1
sensor_1,1599990791000,1.1
sensor_1,1599990791000,1.2
sensor_2,1599990791000,2
sensor_2,1599990791000,2.1
sensor_2,1599990791000,2.2
sensor_3,1599990795000,3
sensor_3,1599990795000,3.1
sensor_3,1599990795000,3.2
sensor_4,1599990796000,4
sensor_4,1599990796000,4.1
sensor_4,1599990796000,4.2
sensor_5,1599990797000,5
sensor_6,1599990798000,6
